lake,month,site_id,family,number,basin
Camp,June,1,amphipoda,1,complex
Camp,July,1,amphipoda,12,complex
Camp,August,1,amphipoda,1,complex
Camp,June,5,amphipoda,7,simple
Camp,August,5,amphipoda,4,simple
Camp,July,6,amphipoda,1,simple
Camp,June,1,chironomidae,95,complex
Camp,July,1,chironomidae,17,complex
Camp,August,1,chironomidae,10,complex
Camp,June,2,chironomidae,125,complex
Camp,July,2,chironomidae,53,complex
Camp,August,2,chironomidae,43,complex
Camp,June,3,chironomidae,51,complex
Camp,July,3,chironomidae,10,complex
Camp,August,3,chironomidae,7,complex
Camp,June,4,chironomidae,35,simple
Camp,July,4,chironomidae,24,simple
Camp,August,4,chironomidae,6,simple
Camp,June,5,chironomidae,92,simple
Camp,July,5,chironomidae,19,simple
Camp,August,5,chironomidae,5,simple
Camp,June,6,chironomidae,69,simple
Camp,July,6,chironomidae,25,simple
Camp,August,6,chironomidae,12,simple
Camp,June,1,ephemeroptera,8,complex
Camp,July,1,ephemeroptera,1,complex
Camp,June,2,ephemeroptera,5,complex
Camp,June,3,ephemeroptera,1,complex
Camp,June,5,ephemeroptera,1,simple
Camp,June,6,ephemeroptera,3,simple
Camp,June,2,grub,2,complex
Camp,June,3,grub,2,complex
Camp,July,3,grub,3,complex
Camp,June,4,grub,2,simple
Camp,June,5,grub,1,simple
Camp,July,5,grub,2,simple
Camp,June,1,hirudinea,9,complex
Camp,August,1,hirudinea,2,complex
Camp,June,2,hirudinea,9,complex
Camp,July,2,hirudinea,1,complex
Camp,August,2,hirudinea,5,complex
Camp,June,3,hirudinea,11,complex
Camp,July,3,hirudinea,4,complex
Camp,August,3,hirudinea,5,complex
Camp,June,4,hirudinea,5,simple
Camp,July,4,hirudinea,21,simple
Camp,August,4,hirudinea,5,simple
Camp,July,5,hirudinea,7,simple
Camp,August,5,hirudinea,3,simple
Camp,June,6,hirudinea,15,simple
Camp,July,6,hirudinea,6,simple
Camp,August,6,hirudinea,1,simple
Camp,June,1,mosquito,2,complex
Camp,June,2,mosquito,4,complex
Camp,July,2,mosquito,2,complex
Camp,June,4,mosquito,1,simple
Camp,June,5,mosquito,4,simple
Camp,June,6,mosquito,1,simple
Camp,July,6,mosquito,1,simple
Camp,June,1,odonata,4,complex
Camp,July,1,odonata,6,complex
Camp,August,1,odonata,2,complex
Camp,June,2,odonata,1,complex
Camp,August,2,odonata,4,complex
Camp,June,3,odonata,4,complex
Camp,July,3,odonata,1,complex
Camp,June,4,odonata,1,simple
Camp,July,4,odonata,2,simple
Camp,June,5,odonata,5,simple
Camp,July,5,odonata,2,simple
Camp,August,5,odonata,4,simple
Camp,June,6,odonata,1,simple
Camp,July,6,odonata,3,simple
Camp,August,6,odonata,2,simple
Camp,June,1,oligochetae,8,complex
Camp,June,2,oligochetae,10,complex
Camp,July,2,oligochetae,1,complex
Camp,June,3,oligochetae,9,complex
Camp,July,3,oligochetae,8,complex
Camp,June,4,oligochetae,1,simple
Camp,July,4,oligochetae,3,simple
Camp,June,5,oligochetae,9,simple
Camp,July,5,oligochetae,3,simple
Camp,August,5,oligochetae,1,simple
Camp,June,6,oligochetae,7,simple
Camp,July,6,oligochetae,2,simple
Camp,June,4,snail,1,simple
Camp,July,4,snail,5,simple
Camp,June,5,snail,8,simple
Camp,July,5,snail,24,simple
Camp,June,6,snail,1,simple
Camp,July,6,snail,1,simple
Camp,June,1,sphaeridae,12,complex
Camp,August,1,sphaeridae,8,complex
Camp,June,2,sphaeridae,31,complex
Camp,July,2,sphaeridae,19,complex
Camp,August,2,sphaeridae,35,complex
Camp,June,3,sphaeridae,17,complex
Camp,July,3,sphaeridae,33,complex
Camp,July,4,sphaeridae,1,simple
Camp,June,5,sphaeridae,39,simple
Camp,July,5,sphaeridae,11,simple
Camp,August,5,sphaeridae,10,simple
Camp,June,6,sphaeridae,4,simple
Camp,July,6,sphaeridae,5,simple
Camp,June,1,trichoptera,15,complex
Camp,July,1,trichoptera,3,complex
Camp,August,1,trichoptera,1,complex
Camp,June,2,trichoptera,3,complex
Camp,July,2,trichoptera,3,complex
Camp,August,2,trichoptera,1,complex
Camp,June,3,trichoptera,6,complex
Camp,June,4,trichoptera,1,simple
Camp,July,4,trichoptera,2,simple
Camp,June,5,trichoptera,5,simple
Camp,July,5,trichoptera,4,simple
Camp,August,5,trichoptera,1,simple
Camp,June,6,trichoptera,2,simple
